"type_of_trial","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","difficulty","correct_key"
"","843.1300000011106","<p>In this study, you will briefly see a face and then a scrambled image.</p><p>You will then be shown another face and asked to indicate whether this face is the <strong> same </strong> face</p><p> or a <strong> different </strong> face than the one you were previously shown by pressing either <strong> f </strong> for same or <strong> k </strong> for different.</p><p>Press any key to begin.</p>","70","html-keyboard-response","0","845","0.0-0.0","",""
"","null","fixation_cross.png","null","image-keyboard-response","1","1849","0.0-1.0","",""
"","null","images/masked-version/BF0601_1100_00F_mask.jpg","null","image-keyboard-response","2","3853","0.0-2.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","3","4360","0.0-3.0","",""
"","788.7450000016543","images/BF0601_1100_45L.jpg","70","image-keyboard-response","4","5151","0.0-4.0","",""
"","null","fixation_cross.png","null","image-keyboard-response","5","6156","0.0-5.0","",""
"","null","images/masked-version/BF0604_1100_45L_mask.jpg","null","image-keyboard-response","6","8163","0.0-6.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","7","8666","0.0-7.0","",""
"","310.46000000060303","images/masked-version/BF0602_1100_45L_mask.jpg","70","image-keyboard-response","8","8979","0.0-8.0","",""
"","null","fixation_cross.png","null","image-keyboard-response","9","9982","0.0-9.0","",""
"","null","images/BF0606_1100_45L.jpg","null","image-keyboard-response","10","11987","0.0-10.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","11","12489","0.0-11.0","",""
"","426.2799999996787","images/BF0604_1100_00F.jpg","70","image-keyboard-response","12","12917","0.0-12.0","",""
"","null","fixation_cross.png","null","image-keyboard-response","13","13923","0.0-13.0","",""
"","null","","null","image-keyboard-response","14","15928","0.0-14.0","",""
